                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.85323,                 1.1307,                 1.1897,                0.54459,                0.63823,                0.58467,                0.39832,                 1.1324,                 1.5395,                 1.3594,               0.000656,               0.000656,               0.000656
                     50,                0.85552,                 1.2605,                 1.1779,                0.59727,                0.52661,                0.54495,                0.37425,                 1.1699,                 1.5986,                 1.3865,             0.00064362,             0.00064362,             0.00064362
                     51,                0.82794,                 1.1054,                 1.1649,                0.57791,                0.59521,                0.54435,                0.37474,                 1.1197,                 1.5402,                 1.3423,             0.00063125,             0.00063125,             0.00063125
                     52,                0.80248,                 1.0173,                 1.1415,                0.67353,                0.50226,                0.57943,                0.39691,                 1.0851,                 1.4364,                 1.3303,             0.00061887,             0.00061887,             0.00061887
                     53,                0.82342,                 1.0402,                 1.1732,                0.57321,                0.47111,                0.53131,                0.36073,                  1.138,                  1.562,                 1.3849,              0.0006065,              0.0006065,              0.0006065
                     54,                0.80656,                 1.0267,                 1.1417,                0.61482,                 0.5095,                0.55832,                 0.3873,                 1.0985,                 1.5073,                 1.3545,             0.00059413,             0.00059413,             0.00059413
                     55,                0.81354,                 1.0028,                 1.1662,                0.56793,                0.57254,                0.55374,                0.38681,                 1.0802,                 1.5462,                 1.3547,             0.00058175,             0.00058175,             0.00058175
                     56,                0.79055,                 1.0151,                   1.15,                0.58261,                  0.537,                0.56887,                0.37051,                 1.1391,                 1.5855,                 1.3833,             0.00056938,             0.00056938,             0.00056938
                     57,                0.79812,                0.98462,                 1.1458,                0.63363,                0.51971,                 0.5625,                0.38137,                 1.1209,                 1.5206,                 1.3889,               0.000557,               0.000557,               0.000557
                     58,                0.77623,                 1.0276,                  1.123,                0.69196,                0.54638,                0.60084,                0.41683,                  1.079,                 1.4386,                 1.3755,             0.00054463,             0.00054463,             0.00054463
                     59,                0.73274,                0.87869,                 1.1021,                0.62502,                0.59054,                0.59699,                0.41124,                 1.0808,                 1.4852,                 1.3328,             0.00053225,             0.00053225,             0.00053225
                     60,                0.70322,                0.82794,                 1.0772,                0.56721,                0.59216,                0.61007,                0.41863,                 1.0082,                 1.5152,                  1.316,             0.00051988,             0.00051988,             0.00051988
                     61,                 0.7031,                0.83651,                 1.0919,                0.57671,                 0.6102,                0.60676,                0.39802,                 1.1254,                 1.4881,                 1.3864,              0.0005075,              0.0005075,              0.0005075
                     62,                0.69118,                0.81862,                 1.0671,                0.56842,                0.58811,                0.58702,                0.41069,                 1.0599,                 1.4808,                 1.3457,             0.00049513,             0.00049513,             0.00049513
                     63,                0.70106,                0.81407,                 1.0975,                0.50628,                0.62467,                 0.5745,                0.39569,                 1.1125,                 1.5047,                 1.3705,             0.00048275,             0.00048275,             0.00048275
                     64,                0.68447,                0.77614,                 1.0741,                0.62402,                0.56081,                0.58724,                0.41653,                 1.0744,                 1.5378,                 1.3472,             0.00047038,             0.00047038,             0.00047038
                     65,                0.67691,                0.77475,                 1.0732,                0.67782,                0.50019,                0.56844,                0.40686,                 1.0759,                 1.5926,                 1.3524,               0.000458,               0.000458,               0.000458
                     66,                0.74996,                0.89177,                 1.1217,                0.63448,                0.55449,                 0.5791,                0.40518,                 1.0427,                 1.4947,                 1.3302,             0.00044563,             0.00044563,             0.00044563
                     67,                0.73118,                 0.8334,                 1.1041,                 0.5848,                0.62051,                0.59407,                0.40713,                 1.0956,                 1.5245,                 1.3779,             0.00043325,             0.00043325,             0.00043325
                     68,                0.71104,                0.83865,                 1.0936,                0.60661,                0.57443,                0.58796,                0.40492,                 1.0644,                 1.4752,                 1.3203,             0.00042087,             0.00042087,             0.00042087
                     69,                0.72124,                0.81877,                 1.1068,                0.72455,                0.51926,                 0.6007,                0.41293,                  1.075,                 1.4879,                 1.3455,              0.0004085,              0.0004085,              0.0004085
                     70,                0.70157,                0.82052,                  1.083,                0.72165,                0.52931,                0.61215,                0.42931,                 1.0604,                 1.4437,                 1.3362,             0.00039613,             0.00039613,             0.00039613
                     71,                0.70882,                0.82533,                 1.1094,                0.65862,                0.54657,                0.60078,                0.42621,                 1.0705,                 1.4269,                 1.3432,             0.00038375,             0.00038375,             0.00038375
                     72,                0.67838,                0.76667,                 1.0603,                0.68664,                0.57162,                0.61479,                0.43276,                 1.0576,                 1.3653,                  1.341,             0.00037138,             0.00037138,             0.00037138
                     73,                0.69184,                0.75575,                 1.0766,                0.70295,                0.55264,                0.59681,                0.40861,                 1.0769,                 1.5744,                 1.3337,               0.000359,               0.000359,               0.000359
                     74,                0.69195,                0.76383,                 1.0873,                0.70579,                  0.526,                0.58798,                0.41518,                 1.0222,                 1.5068,                 1.3058,             0.00034663,             0.00034663,             0.00034663
                     75,                0.67115,                0.76154,                 1.0776,                0.57056,                0.60214,                0.61806,                0.43191,                 1.0268,                  1.357,                 1.3023,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.6715,                0.74455,                 1.0693,                0.59186,                0.57707,                0.61182,                 0.4246,                 1.0435,                 1.4059,                 1.3369,             0.00032188,             0.00032188,             0.00032188
                     77,                0.66165,                0.72439,                  1.075,                0.63845,                0.56273,                0.59973,                0.41681,                 1.0413,                 1.5013,                 1.3376,              0.0003095,              0.0003095,              0.0003095
                     78,                0.64369,                0.72799,                 1.0641,                0.67132,                0.55797,                0.61773,                0.42597,                 1.0341,                 1.4171,                 1.3431,             0.00029713,             0.00029713,             0.00029713
                     79,                0.66448,                0.68825,                 1.0665,                0.65452,                0.57496,                0.61393,                0.43578,                 1.0651,                 1.4526,                 1.3394,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.6359,                0.69702,                 1.0563,                 0.6574,                0.54937,                0.56864,                 0.4068,                 1.1211,                 1.5782,                 1.3822,             0.00027237,             0.00027237,             0.00027237
                     81,                0.63517,                0.68179,                 1.0403,                0.68222,                0.53833,                0.59117,                0.41835,                 1.0874,                  1.407,                  1.361,                0.00026,                0.00026,                0.00026
                     82,                0.62269,                0.65645,                 1.0401,                 0.6168,                0.64154,                0.63107,                0.44279,                 1.0554,                 1.3511,                 1.3456,             0.00024762,             0.00024762,             0.00024762
                     83,                 0.6041,                0.65847,                  1.033,                0.57905,                0.62211,                0.61411,                0.43269,                 1.0592,                 1.3883,                 1.3318,             0.00023525,             0.00023525,             0.00023525
                     84,                0.64694,                0.68521,                 1.0626,                0.59203,                0.59742,                0.61954,                0.43925,                 1.0112,                 1.3765,                 1.3072,             0.00022288,             0.00022288,             0.00022288
                     85,                0.63278,                0.67077,                 1.0404,                0.70183,                 0.5375,                0.62386,                0.44222,                 1.0448,                 1.4092,                 1.3205,              0.0002105,              0.0002105,              0.0002105
                     86,                0.65855,                0.69471,                 1.0602,                0.54342,                0.59192,                   0.59,                0.42458,                  1.051,                 1.4991,                 1.3445,             0.00019813,             0.00019813,             0.00019813
                     87,                0.60477,                0.64875,                 1.0282,                0.57393,                0.60198,                0.59875,                0.42906,                 1.0475,                  1.441,                  1.331,             0.00018575,             0.00018575,             0.00018575
                     88,                0.62571,                0.66973,                 1.0377,                0.67521,                0.52413,                0.60939,                0.41978,                 1.0488,                 1.4491,                 1.3593,             0.00017338,             0.00017338,             0.00017338
                     89,                0.62176,                0.65313,                 1.0379,                0.71748,                0.55856,                 0.6045,                0.41919,                 1.0561,                 1.4842,                 1.3554,               0.000161,               0.000161,               0.000161
                     90,                0.59928,                0.62581,                  1.029,                0.64122,                0.58389,                 0.6123,                 0.4326,                 1.0711,                 1.4714,                 1.3581,             0.00014862,             0.00014862,             0.00014862
                     91,                 0.5543,                0.54973,                0.98424,                0.59837,                0.58985,                 0.6102,                0.40978,                 1.0848,                 1.5554,                 1.3587,             0.00013625,             0.00013625,             0.00013625
                     92,                0.53297,                0.50106,                0.96573,                0.60368,                0.55242,                0.59459,                 0.4197,                 1.0946,                 1.4874,                 1.3906,             0.00012387,             0.00012387,             0.00012387
                     93,                0.53747,                0.51302,                0.96318,                0.64779,                0.57153,                0.58859,                0.41934,                 1.0709,                 1.5049,                 1.3671,              0.0001115,              0.0001115,              0.0001115
                     94,                0.52338,                 0.4823,                0.96558,                0.68199,                0.55208,                0.61008,                0.42805,                 1.0847,                 1.5225,                 1.3906,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.52542,                 0.4749,                0.97324,                0.59506,                 0.5984,                0.61094,                0.43689,                 1.0524,                 1.4944,                 1.3518,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.52255,                0.45114,                0.96126,                0.63866,                0.56999,                0.60321,                0.43905,                 1.0233,                  1.472,                 1.3307,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.49557,                0.44752,                0.95336,                0.66462,                0.55317,                0.62128,                0.44269,                 1.0087,                 1.4831,                 1.3249,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.4848,                0.42862,                0.95074,                0.68379,                0.54133,                0.62212,                0.44804,                  1.007,                 1.4334,                 1.3257,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.48621,                0.44295,                0.94063,                0.70435,                0.53789,                0.62706,                0.44754,                  1.008,                 1.4313,                 1.3344,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.49276,                0.44443,                0.94768,                 0.6881,                 0.5574,                0.63753,                0.45455,                 1.0073,                 1.3961,                 1.3355,             2.4875e-05,             2.4875e-05,             2.4875e-05
