     28/99        0G   0.03675   0.01968   0.01769   0.07411        52       640    0.5163    0.3947    0.3905    0.2152   0.03888   0.01547   0.04075
     29/99        0G   0.03487   0.01917   0.01696     0.071        38       640    0.4064    0.5471     0.446    0.2694   0.03748   0.01682   0.03645
     30/99        0G   0.03554   0.02077   0.01466   0.07098        39       640    0.5511    0.4355    0.4377     0.248   0.03832   0.01643   0.04011
     31/99        0G   0.03468   0.01932   0.01523   0.06923        43       640     0.585    0.4079    0.4393     0.238   0.03655   0.01586   0.03996
     32/99        0G   0.03428   0.01887   0.01437   0.06752        59       640    0.5587    0.4828    0.4628    0.2679   0.03669   0.01617   0.03737
     33/99        0G    0.0339   0.01958    0.0154   0.06888        38       640    0.4136    0.5823    0.4587    0.2516   0.03858   0.01595   0.03406
     34/99        0G   0.03355   0.01828   0.01446   0.06629        42       640    0.5282    0.4879    0.4519    0.2472   0.03859   0.01889   0.03213
     35/99        0G   0.03282    0.0187   0.01462   0.06614        30       640    0.5352     0.466    0.4312    0.2572   0.03625   0.01712   0.03935
     36/99        0G   0.03283   0.01832   0.01323   0.06438        41       640    0.5819    0.4804    0.4681     0.281   0.03573   0.01678    0.0395
     37/99        0G   0.03233    0.0181   0.01302   0.06345        42       640     0.469    0.5604      0.47    0.2767   0.03526   0.01617    0.0362
     38/99        0G   0.03197    0.0185    0.0132   0.06367        39       640    0.4652    0.4654    0.4405    0.2591   0.03575    0.0158   0.03746
     39/99        0G   0.03164   0.01816    0.0116   0.06141        41       640    0.5956    0.4078    0.4511    0.2668   0.03748   0.01655   0.03407
     40/99        0G   0.03163   0.01796   0.01185   0.06144        41       640    0.5457    0.4872    0.4704    0.2623   0.03779   0.01629   0.03528
     41/99        0G   0.03115   0.01713   0.01217   0.06044        42       640    0.5932    0.5265    0.5171    0.3112   0.03603   0.01439   0.03834
     42/99        0G   0.03056   0.01749   0.01122   0.05927        48       640    0.5613    0.5325    0.4716    0.2765   0.03539   0.01548   0.04489
     43/99        0G   0.03054   0.01772  0.009926   0.05819        49       640    0.6759     0.465     0.538    0.3192    0.0355   0.01604   0.03698
     44/99        0G   0.03051   0.01702  0.009311   0.05685        42       640    0.5806    0.5327    0.5319     0.327   0.03427   0.01569   0.03568
     45/99        0G   0.02879   0.01714    0.0106   0.05653        58       640     0.638    0.4737     0.514    0.2832    0.0382    0.0167   0.03786
     46/99        0G   0.02966   0.01653  0.009624   0.05582        32       640    0.6822    0.4558    0.5281    0.3306   0.03548   0.01536   0.03279
     47/99        0G   0.02897   0.01661  0.009246   0.05483        38       640    0.5902    0.5097    0.5054    0.3139   0.03569   0.01645   0.03172
     48/99        0G   0.02913   0.01612  0.008772   0.05402        58       640    0.6289      0.45    0.4968    0.2982   0.03518   0.01544     0.041
     49/99        0G   0.02902    0.0161   0.00901   0.05413        44       640    0.5722    0.5048    0.4787    0.2915   0.03511   0.01602   0.04223
     50/99        0G   0.02769   0.01617  0.009007   0.05287        34       640    0.6043     0.489     0.516     0.321   0.03513   0.01573   0.03756
     51/99        0G   0.02772   0.01579  0.007807   0.05131        55       640    0.4884    0.5682    0.4833    0.3041   0.03495   0.01529   0.04694
