                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.76609,                0.84611,                 1.0238,                0.56415,                0.58445,                 0.5571,                0.38969,                 1.0819,                 1.6538,                 1.1806,             0.00053225,             0.00053225,             0.00053225
                     60,                0.75409,                0.81852,                 1.0268,                0.61175,                 0.5395,                0.53577,                0.37188,                 1.0981,                 1.5763,                 1.2102,             0.00051988,             0.00051988,             0.00051988
                     61,                0.76578,                0.81238,                 1.0349,                0.71171,                 0.4892,                  0.573,                0.40157,                 1.0303,                 1.4525,                 1.1562,              0.0005075,              0.0005075,              0.0005075
                     62,                0.76876,                0.80955,                 1.0263,                0.66169,                0.52933,                0.57403,                0.39463,                   1.08,                 1.7871,                 1.1999,             0.00049513,             0.00049513,             0.00049513
                     63,                0.75217,                 0.7862,                 1.0281,                0.67364,                0.52287,                0.56199,                0.38234,                 1.0908,                 1.5935,                 1.1869,             0.00048275,             0.00048275,             0.00048275
                     64,                0.75198,                0.80049,                  1.028,                 0.6819,                0.51991,                0.57995,                0.41286,                 1.0338,                 1.6089,                 1.1546,             0.00047038,             0.00047038,             0.00047038
                     65,                0.72841,                0.78174,                 1.0102,                0.65499,                0.52706,                0.55212,                0.38909,                 1.1101,                 1.6329,                 1.2263,               0.000458,               0.000458,               0.000458
                     66,                0.72703,                 0.7594,                 1.0133,                0.71102,                0.50179,                0.59133,                0.41785,                 1.0221,                 1.6653,                 1.1393,             0.00044563,             0.00044563,             0.00044563
                     67,                0.72692,                0.78579,                 1.0081,                0.74465,                0.53802,                0.58793,                0.40357,                 1.0601,                 1.5532,                 1.1672,             0.00043325,             0.00043325,             0.00043325
                     68,                0.71665,                0.75491,                 1.0126,                0.61794,                0.57897,                0.57987,                0.42064,                 1.0309,                  1.595,                 1.1583,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70786,                0.73784,                 1.0136,                0.59703,                0.56409,                0.57292,                0.39715,                 1.0745,                 1.6821,                 1.1681,              0.0004085,              0.0004085,              0.0004085
                     70,                0.70921,                  0.711,                 1.0036,                0.64434,                0.53164,                0.56172,                0.39219,                 1.0611,                 1.5286,                 1.1846,             0.00039613,             0.00039613,             0.00039613
                     71,                0.70421,                0.71652,                0.99184,                0.66738,                0.53204,                0.56268,                0.39633,                 1.0506,                 1.6021,                 1.1808,             0.00038375,             0.00038375,             0.00038375
                     72,                0.74288,                0.73941,                 1.0233,                0.57147,                0.55669,                0.55851,                0.38021,                 1.1136,                 1.7696,                 1.1952,             0.00037138,             0.00037138,             0.00037138
                     73,                0.71832,                0.72634,                 1.0049,                0.64029,                0.55118,                0.59449,                0.40424,                 1.0621,                 1.5966,                    1.2,               0.000359,               0.000359,               0.000359
