                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.79996,                0.91225,                 1.1715,                0.70067,                0.64791,                0.69615,                0.52314,                0.95578,                 1.2071,                 1.2355,             0.00058175,             0.00058175,             0.00058175
                     56,                0.79546,                0.90259,                 1.1756,                0.77274,                0.60462,                0.66567,                0.50682,                0.95434,                 1.1951,                 1.2758,             0.00056938,             0.00056938,             0.00056938
                     57,                0.78711,                0.84247,                 1.1596,                0.67522,                0.68406,                0.70434,                0.53341,                0.96653,                 1.1954,                 1.2953,               0.000557,               0.000557,               0.000557
                     58,                0.78052,                0.85205,                 1.1516,                0.69434,                0.70365,                0.70838,                  0.541,                0.91597,                  1.179,                  1.232,             0.00054463,             0.00054463,             0.00054463
                     59,                0.76043,                0.83067,                 1.1473,                0.77279,                0.62723,                0.69899,                0.53725,                0.93396,                 1.1675,                  1.262,             0.00053225,             0.00053225,             0.00053225
                     60,                0.75391,                0.82789,                 1.1378,                0.71567,                0.65822,                0.67809,                0.51474,                0.93733,                 1.2458,                  1.285,             0.00051988,             0.00051988,             0.00051988
                     61,                0.75481,                0.79541,                 1.1405,                0.76016,                 0.5945,                0.69378,                0.53353,                0.92211,                 1.2266,                 1.2468,              0.0005075,              0.0005075,              0.0005075
                     62,                0.73773,                 0.7784,                 1.1353,                0.71815,                0.63182,                0.68266,                0.52904,                0.99175,                 1.2684,                 1.2955,             0.00049513,             0.00049513,             0.00049513
                     63,                0.72029,                0.76027,                 1.1167,                0.72014,                0.66202,                0.69914,                0.54383,                0.90489,                 1.1884,                 1.2393,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.7231,                0.77798,                 1.1232,                0.69744,                0.60172,                0.67221,                0.51465,                0.91539,                 1.2637,                 1.2541,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71063,                0.76514,                 1.1232,                0.75207,                0.60686,                0.67562,                0.52869,                0.89832,                 1.2707,                 1.2388,               0.000458,               0.000458,               0.000458
                     66,                0.68746,                0.72876,                 1.0965,                0.77847,                0.59856,                0.68767,                 0.5375,                0.89161,                 1.2121,                 1.2229,             0.00044563,             0.00044563,             0.00044563
                     67,                0.70759,                0.73224,                 1.1181,                0.76902,                0.61571,                0.68161,                0.52253,                0.92286,                 1.2546,                 1.2572,             0.00043325,             0.00043325,             0.00043325
                     68,                0.68232,                0.72498,                 1.1022,                0.76083,                0.62341,                0.68652,                0.53203,                0.92067,                 1.1907,                 1.2748,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70328,                0.72403,                 1.1066,                0.78949,                 0.5783,                0.68374,                 0.5381,                0.88362,                 1.1985,                 1.2378,              0.0004085,              0.0004085,              0.0004085
                     70,                0.70618,                0.71631,                 1.1116,                  0.691,                0.64873,                0.68863,                0.52862,                0.89162,                 1.2651,                  1.253,             0.00039613,             0.00039613,             0.00039613
                     71,                0.67606,                0.68777,                 1.0887,                0.73858,                  0.602,                 0.6755,                0.52966,                0.86278,                 1.2323,                 1.2343,             0.00038375,             0.00038375,             0.00038375
                     72,                0.67246,                0.67215,                 1.0828,                0.70823,                0.60207,                0.68089,                0.53315,                 0.9017,                 1.2212,                  1.258,             0.00037138,             0.00037138,             0.00037138
