                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.81234,                0.79998,                 1.0908,                0.70772,                0.65474,                 0.7043,                0.53465,                0.90501,                 1.2022,                 1.1633,             0.00068075,             0.00068075,             0.00068075
                     48,                0.79797,                0.78274,                  1.084,                0.75999,                0.65387,                0.71444,                0.53122,                0.95646,                 1.1519,                  1.201,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81001,                0.80532,                 1.0926,                0.77599,                0.63604,                0.72645,                0.54209,                0.92848,                 1.1547,                  1.156,               0.000656,               0.000656,               0.000656
                     50,                0.80083,                0.77098,                 1.0843,                0.82403,                0.58489,                0.71138,                0.52854,                 0.9371,                 1.1716,                  1.183,             0.00064362,             0.00064362,             0.00064362
                     51,                0.79342,                0.77076,                 1.0833,                0.69256,                0.65139,                 0.6991,                0.52749,                0.95626,                 1.1269,                 1.1921,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77728,                0.75003,                 1.0705,                0.77843,                0.61398,                0.70153,                0.53232,                0.92262,                 1.1052,                 1.1761,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75978,                0.73429,                 1.0584,                0.79564,                0.62369,                0.70789,                0.53896,                0.92792,                  1.165,                 1.1788,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77276,                0.71541,                 1.0658,                0.70288,                0.64892,                0.69593,                0.52413,                0.93931,                 1.2114,                 1.1967,             0.00059413,             0.00059413,             0.00059413
                     55,                0.75282,                0.70823,                 1.0518,                0.75515,                0.64875,                0.70994,                0.54336,                0.94981,                 1.1474,                 1.2357,             0.00058175,             0.00058175,             0.00058175
                     56,                0.75779,                0.72749,                 1.0615,                0.76101,                0.62545,                0.69162,                0.54228,                0.90701,                 1.1341,                 1.1893,             0.00056938,             0.00056938,             0.00056938
                     57,                0.75253,                0.70174,                 1.0568,                0.78507,                0.64621,                0.70769,                0.53947,                0.94454,                 1.1161,                 1.2227,               0.000557,               0.000557,               0.000557
                     58,                0.75112,                0.69983,                  1.058,                0.81453,                0.60202,                  0.726,                0.56379,                0.90807,                 1.1288,                 1.1815,             0.00054463,             0.00054463,             0.00054463
                     59,                0.74069,                 0.6693,                 1.0417,                0.82048,                0.59265,                 0.7001,                0.54892,                0.90227,                 1.1998,                 1.1743,             0.00053225,             0.00053225,             0.00053225
                     60,                0.71628,                0.67021,                 1.0394,                 0.7738,                0.62639,                0.70377,                 0.5458,                0.92241,                 1.1262,                 1.2075,             0.00051988,             0.00051988,             0.00051988
                     61,                  0.727,                0.69347,                 1.0395,                0.71525,                0.64184,                0.69088,                0.53743,                0.91554,                   1.23,                 1.1903,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70928,                0.65327,                  1.031,                0.76456,                0.62771,                0.70209,                0.54721,                 0.9055,                 1.1574,                 1.1738,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71372,                0.64569,                 1.0399,                0.74344,                 0.6401,                0.70727,                0.55026,                0.91197,                 1.1356,                 1.1845,             0.00048275,             0.00048275,             0.00048275
                     64,                0.70292,                0.64048,                 1.0263,                0.79592,                0.61684,                0.71063,                0.55425,                0.93468,                 1.1224,                 1.2302,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71055,                0.64044,                 1.0368,                0.71648,                0.65537,                0.71175,                0.55483,                 0.8824,                 1.1484,                 1.1448,               0.000458,               0.000458,               0.000458
                     66,                 0.6979,                0.63793,                 1.0189,                0.78694,                0.62782,                0.70931,                0.55844,                0.89301,                 1.1748,                 1.1646,             0.00044563,             0.00044563,             0.00044563
                     67,                0.69195,                0.61709,                 1.0218,                0.74716,                0.63401,                0.71039,                0.55087,                0.89462,                  1.151,                 1.1798,             0.00043325,             0.00043325,             0.00043325
                     68,                0.68931,                0.60787,                 1.0312,                0.77618,                0.63649,                0.71801,                0.55999,                0.89041,                 1.1111,                  1.174,             0.00042087,             0.00042087,             0.00042087
                     69,                0.67606,                0.59048,                 1.0154,                0.77631,                 0.6357,                0.71741,                0.55368,                0.86866,                  1.079,                 1.1806,              0.0004085,              0.0004085,              0.0004085
                     70,                0.66829,                0.58141,                 1.0089,                0.77707,                0.64686,                0.71974,                  0.561,                0.89458,                 1.0814,                 1.1964,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.6528,                0.57308,                 1.0038,                0.80902,                 0.6335,                0.71544,                0.55348,                0.89636,                 1.0924,                 1.1916,             0.00038375,             0.00038375,             0.00038375
                     72,                0.65779,                0.57801,                 1.0078,                0.77315,                0.64113,                0.72122,                0.56663,                0.89627,                 1.0334,                 1.1984,             0.00037138,             0.00037138,             0.00037138
                     73,                0.66204,                0.57785,                 1.0088,                0.82621,                0.62736,                0.74397,                0.57039,                0.90663,                 1.0058,                 1.1901,               0.000359,               0.000359,               0.000359
                     74,                 0.6426,                0.55949,                0.99748,                0.81544,                  0.622,                0.71055,                0.54873,                0.90958,                 1.1236,                 1.2114,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.6458,                0.54924,                0.99356,                0.83204,                0.61631,                0.71031,                0.54928,                0.89445,                 1.1606,                 1.2049,             0.00033425,             0.00033425,             0.00033425
                     76,                0.64314,                0.55559,                  1.004,                0.82767,                0.62471,                0.71091,                0.56107,                0.88336,                 1.1092,                 1.1902,             0.00032188,             0.00032188,             0.00032188
                     77,                0.63009,                0.53027,                 0.9871,                0.78042,                0.63921,                0.70711,                0.55214,                0.92964,                 1.1546,                 1.2428,              0.0003095,              0.0003095,              0.0003095
                     78,                0.62881,                0.52844,                 0.9909,                 0.7915,                0.63402,                0.71251,                0.55626,                0.89122,                 1.1002,                 1.1862,             0.00029713,             0.00029713,             0.00029713
                     79,                0.63518,                0.53077,                 1.0026,                0.79174,                0.62689,                0.71007,                0.54354,                 0.9251,                 1.1903,                 1.2181,             0.00028475,             0.00028475,             0.00028475
                     80,                0.62463,                0.53906,                0.99256,                 0.8348,                0.63204,                0.72551,                0.56272,                0.87795,                 1.0984,                 1.1827,             0.00027237,             0.00027237,             0.00027237
                     81,                0.61036,                0.51361,                 0.9816,                0.84807,                 0.6068,                0.72641,                0.56938,                0.87453,                 1.1346,                 1.1886,                0.00026,                0.00026,                0.00026
                     82,                0.59901,                0.50216,                0.97381,                0.80903,                0.66066,                0.74638,                0.57123,                    0.9,                 1.0822,                 1.1971,             0.00024762,             0.00024762,             0.00024762
                     83,                0.61003,                0.51277,                0.97996,                0.83592,                0.62701,                0.72526,                0.56077,                0.84054,                  1.104,                 1.1752,             0.00023525,             0.00023525,             0.00023525
                     84,                0.61279,                0.51157,                0.97319,                 0.8027,                 0.6624,                0.73624,                0.57533,                0.85685,                 1.0518,                 1.1556,             0.00022288,             0.00022288,             0.00022288
                     85,                0.59259,                 0.4841,                0.97106,                0.79787,                0.67827,                0.74331,                0.57791,                0.85106,                 1.0834,                 1.1722,              0.0002105,              0.0002105,              0.0002105
                     86,                0.60748,                0.49438,                0.97438,                0.81392,                0.64592,                0.73646,                0.57245,                0.85752,                 1.0726,                 1.1847,             0.00019813,             0.00019813,             0.00019813
                     87,                0.59009,                0.49082,                0.97113,                0.81522,                0.64987,                0.73384,                0.57295,                0.85317,                 1.0854,                 1.1669,             0.00018575,             0.00018575,             0.00018575
                     88,                0.58386,                0.48283,                 0.9653,                0.80151,                0.68482,                0.73736,                0.57659,                0.87426,                 1.0604,                 1.1778,             0.00017338,             0.00017338,             0.00017338
                     89,                0.57446,                0.48485,                0.96286,                0.82644,                0.67169,                0.74408,                 0.5776,                0.86644,                 1.0595,                 1.1882,               0.000161,               0.000161,               0.000161
                     90,                0.58956,                0.48128,                0.96949,                0.76088,                0.66432,                0.72859,                0.56671,                0.88688,                 1.1222,                 1.2164,             0.00014862,             0.00014862,             0.00014862
