                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.73683,                 0.6674,                 1.0346,                0.77367,                0.60528,                0.69967,                0.53567,                0.94339,                 1.1684,                 1.1991,             0.00019813,             0.00019813,             0.00019813
                     87,                0.73438,                0.66928,                 1.0298,                0.81397,                0.59199,                 0.7081,                0.54517,                0.89929,                 1.1684,                 1.1727,             0.00018575,             0.00018575,             0.00018575
                     88,                0.72808,                0.66737,                 1.0315,                0.79223,                0.60407,                0.71968,                0.54914,                0.90432,                 1.1792,                 1.1627,             0.00017338,             0.00017338,             0.00017338
                     89,                0.72949,                0.65502,                 1.0278,                0.72371,                0.64757,                0.69916,                0.53608,                 0.9319,                 1.2094,                 1.1914,               0.000161,               0.000161,               0.000161
                     90,                0.70982,                0.64168,                   1.02,                0.74883,                 0.6245,                0.70335,                0.54457,                0.90649,                 1.1861,                 1.1795,             0.00014862,             0.00014862,             0.00014862
                     91,                0.66627,                0.53176,                0.98281,                0.76368,                0.61747,                 0.6849,                0.52866,                0.91975,                 1.2204,                 1.1901,             0.00013625,             0.00013625,             0.00013625
                     92,                0.62532,                0.47714,                0.96269,                0.73469,                0.63373,                0.68731,                0.52698,                0.91407,                 1.2177,                 1.2041,             0.00012387,             0.00012387,             0.00012387
                     93,                0.61546,                0.45285,                0.96116,                0.79597,                0.60006,                0.68754,                0.52692,                0.91418,                 1.2257,                 1.1882,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.6051,                0.45053,                0.95068,                0.78863,                0.59937,                0.69718,                0.53315,                0.91576,                 1.1971,                 1.1997,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.59271,                0.44502,                0.94939,                0.78078,                0.61263,                0.69942,                0.53534,                0.90927,                  1.195,                 1.1895,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.59268,                0.43938,                0.94777,                0.75367,                0.63845,                0.69788,                0.52889,                0.92622,                 1.1868,                 1.2119,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.59912,                0.43885,                0.94864,                0.79866,                0.59651,                0.69505,                0.52982,                 0.9212,                 1.1803,                 1.2004,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.59916,                0.42352,                0.94277,                 0.8066,                0.59896,                 0.7008,                0.53625,                0.91532,                 1.1614,                 1.1942,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.58551,                0.42546,                0.94458,                0.79536,                0.60303,                0.70003,                0.53718,                0.90687,                 1.1588,                 1.1895,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.58901,                0.41407,                 0.9417,                0.80019,                0.59186,                0.70269,                0.54164,                0.90996,                 1.1582,                 1.1965,             2.4875e-05,             2.4875e-05,             2.4875e-05
